Index,Symbol,Name,Market,Sector,FullName
84,ADBE,Adobe Inc.,,Technology,Adobe Inc.
85,CZR,"Caesars Entertainment, Inc.",,Consumer Cyclical,"Caesars Entertainment, Inc."
86,MANH,"Manhattan Associates, Inc.",,Technology,"Manhattan Associates, Inc."
87,CG,The Carlyle Group Inc.,,Financial Services,The Carlyle Group Inc.
88,CNH,CNH Industrial N.V.,,Industrials,CNH Industrial N.V.
89,GLW,Corning Incorporated,,Technology,Corning Incorporated
90,HL,Hecla Mining Company,,Basic Materials,Hecla Mining Company
91,PBR,Petroleo Brasileiro S.A.- Petro,,Energy,Petróleo Brasileiro S.A. - Petrobras
92,EWTX,"Edgewise Therapeutics, Inc.",N/A,Healthcare,"Edgewise Therapeutics, Inc."
93,S&P Futures,,,,
94,ARM,Arm Holdings plc,,Technology,Arm Holdings plc
95,DXCM,"DexCom, Inc.",,Healthcare,"DexCom, Inc."
96,TEO,Telecom Argentina SA,N/A,Communication Services,Telecom Argentina S.A.
97,TBBK,"The Bancorp, Inc.",,Financial Services,"The Bancorp, Inc."
98,PLTR,Palantir Technologies Inc.,,Technology,Palantir Technologies Inc.
99,SIRI,SiriusXM Holdings Inc.,,Communication Services,Sirius XM Holdings Inc.
100,ADI,"Analog Devices, Inc.",,Technology,"Analog Devices, Inc."
101,JNPR,"Juniper Networks, Inc.",,Technology,"Juniper Networks, Inc."
102,SOUN,"SoundHound AI, Inc.",N/A,Technology,"SoundHound AI, Inc."
103,KDP,Keurig Dr Pepper Inc.,,Consumer Defensive,Keurig Dr Pepper Inc.
104,SNMYF,SUNCORP GROUP LIMITED,,Financial Services,Suncorp Group Limited
105,IBRX,"ImmunityBio, Inc.",,Healthcare,"ImmunityBio, Inc."
106,MRK,"Merck & Company, Inc.",,Healthcare,"Merck & Co., Inc."
107,ABEV,Ambev S.A.,,Consumer Defensive,Ambev S.A.
108,DJTWW,Trump Media & Technology Group ,,Communication Services,Trump Media & Technology Group Corp.
109,HBI,Hanesbrands Inc.,,Consumer Cyclical,Hanesbrands Inc.
110,CDE,"Coeur Mining, Inc.",,Basic Materials,"Coeur Mining, Inc."
111,ENPH,"Enphase Energy, Inc.",,Technology,"Enphase Energy, Inc."
112,PEP,"Pepsico, Inc.",,Consumer Defensive,"PepsiCo, Inc."
113,MGRC,McGrath RentCorp,N/A,Industrials,McGrath RentCorp
114,PAGS,PagSeguro Digital Ltd.,,Technology,PagSeguro Digital Ltd.
115,AVGO,Broadcom Inc.,,Technology,Broadcom Inc.
116,VST,Vistra Corp.,,Utilities,Vistra Corp.
117,ROKU,"Roku, Inc.",,Communication Services,"Roku, Inc."
118,RKLB,"Rocket Lab USA, Inc.",,Industrials,"Rocket Lab USA, Inc."
119,FTNT,"Fortinet, Inc.",,Technology,"Fortinet, Inc."
120,BABA,Alibaba Group Holding Limited,,Consumer Cyclical,Alibaba Group Holding Limited
121,NXPI,NXP Semiconductors N.V.,,Technology,NXP Semiconductors N.V.
122,VICI,VICI Properties Inc.,,Real Estate,VICI Properties Inc.
123,ALGM,"Allegro MicroSystems, Inc.",N/A,Technology,"Allegro MicroSystems, Inc."
124,BA,Boeing Company (The),,Industrials,The Boeing Company
125,PINXF,THE PEOPLE S INSURANCE COMPANY ,,Financial Services,The People's Insurance Company (Group) of China Limited
126,NWL,Newell Brands Inc.,,Consumer Defensive,Newell Brands Inc.
127,BR,"Broadridge Financial Solutions,",,Technology,"Broadridge Financial Solutions, Inc."
128,GME,GameStop Corporation,,Consumer Cyclical,GameStop Corp.
129,SWN,Southwestern Energy Company,,Energy,Southwestern Energy Company
130,X,United States Steel Corporation,,Basic Materials,United States Steel Corporation
131,HPE,Hewlett Packard Enterprise Comp,,Technology,Hewlett Packard Enterprise Company
132,MPWR,"Monolithic Power Systems, Inc.",,Technology,"Monolithic Power Systems, Inc."
133,XPEV,XPeng Inc.,,Consumer Cyclical,XPeng Inc.
134,MSI,"Motorola Solutions, Inc.",,Technology,"Motorola Solutions, Inc."
135,TAL,TAL Education Group,,Consumer Defensive,TAL Education Group
136,HOOD,"Robinhood Markets, Inc.",,Financial Services,"Robinhood Markets, Inc."
137,BEKE,KE Holdings Inc,,Real Estate,KE Holdings Inc.
138,DYN,"Dyne Therapeutics, Inc.",N/A,Healthcare,"Dyne Therapeutics, Inc."
139,AA,Alcoa Corporation,,Basic Materials,Alcoa Corporation
140,BTC-USD,Bitcoin USD,,,Bitcoin USD
141,ORCL,Oracle Corporation,,Technology,Oracle Corporation
142,STLA,Stellantis N.V.,,Consumer Cyclical,Stellantis N.V.
143,LUNR,"Intuitive Machines, Inc.",,Industrials,"Intuitive Machines, Inc."
144,IBM,International Business Machines,,Technology,International Business Machines Corporation
145,NVDA,NVIDIA Corporation,,Technology,NVIDIA Corporation
146,RUN,Sunrun Inc.,,Technology,Sunrun Inc.
147,EW,Edwards Lifesciences Corporatio,,Healthcare,Edwards Lifesciences Corporation
148,ONON,On Holding AG,N/A,Consumer Cyclical,On Holding AG
149,COP,ConocoPhillips,,Energy,ConocoPhillips
150,KO,Coca-Cola Company (The),,Consumer Defensive,The Coca-Cola Company
151,PR,Permian Resources Corporation,,Energy,Permian Resources Corporation
152,MNST,Monster Beverage Corporation,,Consumer Defensive,Monster Beverage Corporation
153,BZ,KANZHUN LIMITED - American Depo,,Communication Services,Kanzhun Limited
154,MRNA,"Moderna, Inc.",,Healthcare,"Moderna, Inc."
155,Russell 2000 Futures,,,,
156,KEYS,Keysight Technologies Inc.,,Technology,"Keysight Technologies, Inc."
157,EVGO,EVgo Inc.,N/A,Consumer Cyclical,"EVgo, Inc."
158,COIN,"Coinbase Global, Inc.",,Financial Services,"Coinbase Global, Inc."
159,NEE,"NextEra Energy, Inc.",,Utilities,"NextEra Energy, Inc."
160,F,Ford Motor Company,,Consumer Cyclical,Ford Motor Company
161,JANX,"Janux Therapeutics, Inc.",N/A,Healthcare,"Janux Therapeutics, Inc."
162,VFC,V.F. Corporation,,Consumer Cyclical,V.F. Corporation
163,CVS,CVS Health Corporation,,Healthcare,CVS Health Corporation
164,IOT,Samsara Inc.,,Technology,Samsara Inc.
165,SCHW,Charles Schwab Corporation (The,,Financial Services,The Charles Schwab Corporation
166,HPQ,HP Inc.,,Technology,HP Inc.
167,GAP,"Gap, Inc. (The)",,Consumer Cyclical,"The Gap, Inc."
168,OMEX,"Odyssey Marine Exploration, Inc",,Basic Materials,"Odyssey Marine Exploration, Inc."
169,Dow 30,,,,
170,GGAL,Grupo Financiero Galicia S.A.,N/A,Financial Services,Grupo Financiero Galicia S.A.
171,TRMB,Trimble Inc.,,Technology,Trimble Inc.
172,CMG,"Chipotle Mexican Grill, Inc.",,Consumer Cyclical,"Chipotle Mexican Grill, Inc."
173,GE,GE Aerospace,N/A,Industrials,GE Aerospace
174,V,Visa Inc.,N/A,Financial Services,Visa Inc.
175,HIMS,"Hims & Hers Health, Inc.",,Consumer Defensive,"Hims & Hers Health, Inc."
176,FE,FirstEnergy Corp.,,Utilities,FirstEnergy Corp.
177,SBUX,Starbucks Corporation,,Consumer Cyclical,Starbucks Corporation
178,GERN,Geron Corporation,,Healthcare,Geron Corporation
179,DELL,Dell Technologies Inc.,,Technology,Dell Technologies Inc.
180,JBLU,JetBlue Airways Corporation,,Industrials,JetBlue Airways Corporation
181,SNAP,Snap Inc.,,Communication Services,Snap Inc.
182,DVN,Devon Energy Corporation,,Energy,Devon Energy Corporation
183,ET,Energy Transfer LP,,Energy,Energy Transfer LP
184,KYMR,"Kymera Therapeutics, Inc.",N/A,Healthcare,"Kymera Therapeutics, Inc."
185,UPST,"Upstart Holdings, Inc.",,Financial Services,"Upstart Holdings, Inc."
186,GRAB,Grab Holdings Limited,,Technology,Grab Holdings Limited
187,APH,Amphenol Corporation,,Technology,Amphenol Corporation
188,ALTM,Arcadium Lithium plc,,Basic Materials,Arcadium Lithium plc
189,DECK,Deckers Outdoor Corporation,N/A,Consumer Cyclical,Deckers Outdoor Corporation
190,UMC,United Microelectronics Corpora,,Technology,United Microelectronics Corporation
191,MNSO,MINISO Group Holding Limited,,Consumer Cyclical,MINISO Group Holding Limited
192,KVUE,Kenvue Inc.,,Consumer Defensive,Kenvue Inc.
193,CPRI,Capri Holdings Limited,,Consumer Cyclical,Capri Holdings Limited
194,PCG,Pacific Gas & Electric Co.,,Utilities,PG&E Corporation
195,MO,"Altria Group, Inc.",,Consumer Defensive,"Altria Group, Inc."
196,PM,Philip Morris International Inc,,Consumer Defensive,Philip Morris International Inc.
197,Gold,Barrick Gold Corporation,,Basic Materials,Barrick Gold Corporation
198,BYD,Boyd Gaming Corporation,N/A,Consumer Cyclical,Boyd Gaming Corporation
199,NET,"Cloudflare, Inc.",,Technology,"Cloudflare, Inc."
200,LUMN,"Lumen Technologies, Inc.",,Communication Services,"Lumen Technologies, Inc."
201,ASTS,"AST SpaceMobile, Inc.",,Technology,"AST SpaceMobile, Inc."
202,TEVA,Teva Pharmaceutical Industries ,,Healthcare,Teva Pharmaceutical Industries Limited
203,SNOW,Snowflake Inc.,,Technology,Snowflake Inc.
204,WMT,Walmart Inc.,,Consumer Defensive,Walmart Inc.
205,JOBY,"Joby Aviation, Inc.",,Industrials,"Joby Aviation, Inc."
206,CLSK,"CleanSpark, Inc.",,Financial Services,"CleanSpark, Inc."
207,ACN,Accenture plc,,Technology,Accenture plc
208,ASX,"ASE Technology Holding Co., Ltd",,Technology,"ASE Technology Holding Co., Ltd."
209,VIST,Vista Energy S.A.B. de C.V.,N/A,Energy,"Vista Energy, S.A.B. de C.V."
210,MBLY,Mobileye Global Inc.,,Consumer Cyclical,Mobileye Global Inc.
211,GGB,Gerdau S.A.,,Basic Materials,Gerdau S.A.
212,VLY,Valley National Bancorp,,Financial Services,Valley National Bancorp
213,QCOM,QUALCOMM Incorporated,,Technology,QUALCOMM Incorporated
214,BSY,"Bentley Systems, Incorporated",,Technology,"Bentley Systems, Incorporated"
215,AKAM,"Akamai Technologies, Inc.",,Technology,"Akamai Technologies, Inc."
216,SOL-USD,Solana USD,,,Solana USD
217,CSX,CSX Corporation,,Industrials,CSX Corporation
218,DDOG,"Datadog, Inc.",,Technology,"Datadog, Inc."
