98,NVAX,"Novavax, Inc.",N/A,Healthcare
99,BSX,Boston Scientific Corporation,N/A,Healthcare
100,HIMS,"Hims & Hers Health, Inc.",N/A,Consumer Defensive
101,HBAN,Huntington Bancshares Incorpora,N/A,Financial Services
102,NFE,New Fortress Energy Inc.,N/A,Utilities
103,HOOD,"Robinhood Markets, Inc.",N/A,Financial Services
104,ORCL,Oracle Corporation,N/A,Technology
105,ROKU,"Roku, Inc.",N/A,Communication Services
106,XPEV,XPeng Inc.,N/A,Consumer Cyclical
107,HPE,Hewlett Packard Enterprise Comp,N/A,Technology
108,ALTM,Arcadium Lithium plc,N/A,Basic Materials
109,GILD,"Gilead Sciences, Inc.",N/A,Healthcare
110,TSLA,"Tesla, Inc.",N/A,Consumer Cyclical
111,Dow Futures,N/A,N/A,N/A
112,Gold,Barrick Gold Corporation,N/A,Basic Materials
113,NLY,Annaly Capital Management Inc.,N/A,Real Estate
114,PR,Permian Resources Corporation,N/A,Energy
115,APP,Applovin Corporation,N/A,Technology
116,SYM,Symbotic Inc.,N/A,Industrials
117,CX,"Cemex, S.A.B. de C.V. Sponsored",N/A,Basic Materials
118,LYG,Lloyds Banking Group Plc,N/A,Financial Services
119,GLMD,Galmed Pharmaceuticals Ltd.,N/A,Healthcare
120,HL,Hecla Mining Company,N/A,Basic Materials
121,NWL,Newell Brands Inc.,N/A,Consumer Defensive
122,GERN,Geron Corporation,N/A,Healthcare
123,RIVN,"Rivian Automotive, Inc.",N/A,Consumer Cyclical
124,RBLX,Roblox Corporation,N/A,Communication Services
125,PBR,Petroleo Brasileiro S.A.- Petro,N/A,Energy
126,BCS,Barclays PLC,N/A,Financial Services
127,DAL,"Delta Air Lines, Inc.",N/A,Industrials
128,BKR,Baker Hughes Company,N/A,Energy
129,RF,Regions Financial Corporation,N/A,Financial Services
130,PDD,PDD Holdings Inc.,N/A,Consumer Cyclical
131,GOLD,Barrick Gold Corporation,N/A,Basic Materials
132,SIRI,SiriusXM Holdings Inc.,N/A,Communication Services
133,IEP,Icahn Enterprises L.P. - Deposi,N/A,Energy
134,VST,Vistra Corp.,N/A,Utilities
135,VTRS,Viatris Inc.,N/A,Healthcare
136,TEVA,Teva Pharmaceutical Industries ,N/A,Healthcare
137,HPQ,HP Inc.,N/A,Technology
138,VZ,Verizon Communications Inc.,N/A,Communication Services
139,AMCR,Amcor plc,N/A,Consumer Cyclical
140,UMC,United Microelectronics Corpora,N/A,Technology
141,MSTR,MicroStrategy Incorporated,N/A,Technology
142,ADBE,Adobe Inc.,N/A,Technology
143,MARA,"MARA Holdings, Inc.",N/A,Financial Services
144,PYPL,"PayPal Holdings, Inc.",N/A,Financial Services
145,LYFT,"Lyft, Inc.",N/A,Technology
146,SNAP,Snap Inc.,N/A,Communication Services
147,UAL,"United Airlines Holdings, Inc.",N/A,Industrials
148,NOV,NOV Inc.,N/A,Energy
149,GDS,GDS Holdings Limited,N/A,Technology
150,TFC,Truist Financial Corporation,N/A,Financial Services
151,UPST,"Upstart Holdings, Inc.",N/A,Financial Services
152,CORZ,"Core Scientific, Inc.",N/A,Technology
153,SCHW,Charles Schwab Corporation (The,N/A,Financial Services
154,CSX,CSX Corporation,N/A,Industrials
155,EW,Edwards Lifesciences Corporatio,N/A,Healthcare
156,CELH,"Celsius Holdings, Inc.",N/A,Consumer Defensive
157,CMG,"Chipotle Mexican Grill, Inc.",N/A,Consumer Cyclical
158,PEP,"Pepsico, Inc.",N/A,Consumer Defensive
159,ASX,"ASE Technology Holding Co., Ltd",N/A,Technology
160,AFRM,"Affirm Holdings, Inc.",N/A,Technology
161,S&P Futures,N/A,N/A,N/A
162,PLTR,Palantir Technologies Inc.,N/A,Technology
163,BTI,British American Tobacco  Indus,N/A,Consumer Defensive
164,KO,Coca-Cola Company (The),N/A,Consumer Defensive
165,JBLU,JetBlue Airways Corporation,N/A,Industrials
166,ITUB,Itau Unibanco Banco Holding SA,N/A,Financial Services
167,VLY,Valley National Bancorp,N/A,Financial Services
168,INTC,Intel Corporation,N/A,Technology
169,SBSW,D/B/A Sibanye-Stillwater Limite,N/A,Basic Materials
170,ZI,ZoomInfo Technologies Inc.,N/A,Technology
171,SBUX,Starbucks Corporation,N/A,Consumer Cyclical
172,BABA,Alibaba Group Holding Limited,N/A,Consumer Cyclical
173,QCOM,QUALCOMM Incorporated,N/A,Technology
174,AVGO,Broadcom Inc.,N/A,Technology
175,RTX,RTX Corporation,N/A,Industrials
176,PINS,"Pinterest, Inc.",N/A,Communication Services
177,FCX,"Freeport-McMoRan, Inc.",N/A,Basic Materials
178,T,AT&T Inc.,N/A,Communication Services
179,XOM,Exxon Mobil Corporation,N/A,Energy
180,DVN,Devon Energy Corporation,N/A,Energy
181,S,"SentinelOne, Inc.",N/A,Technology
182,BOX,"Box, Inc.",N/A,Technology
183,ET,Energy Transfer LP,N/A,Energy
184,KDP,Keurig Dr Pepper Inc.,N/A,Consumer Defensive
185,STLA,Stellantis N.V.,N/A,Consumer Cyclical
186,PINXF,THE PEOPLE S INSURANCE COMPANY ,N/A,Financial Services
187,Crude Oil,N/A,N/A,N/A
188,AES,The AES Corporation,N/A,Utilities
189,COP,ConocoPhillips,N/A,Energy
190,KGC,Kinross Gold Corporation,N/A,Basic Materials
191,AAL,"American Airlines Group, Inc.",N/A,Industrials
192,PFE,"Pfizer, Inc.",N/A,Healthcare
193,SAVA,"Cassava Sciences, Inc.",N/A,Healthcare
194,CSCO,"Cisco Systems, Inc.",N/A,Technology
195,FHN,First Horizon Corporation,N/A,Financial Services
196,NGD,New Gold Inc.,N/A,Basic Materials
197,MPW,"Medical Properties Trust, Inc.",N/A,Real Estate
198,ARM,Arm Holdings plc,N/A,Technology
199,BILI,Bilibili Inc.,N/A,Communication Services
200,GEV,GE Vernova Inc.,N/A,Utilities
201,VFC,V.F. Corporation,N/A,Consumer Cyclical
202,HBI,Hanesbrands Inc.,N/A,Consumer Cyclical
203,MU,"Micron Technology, Inc.",N/A,Technology
204,MO,"Altria Group, Inc.",N/A,Consumer Defensive
205,IOT,Samsara Inc.,N/A,Technology
206,RIOT,"Riot Platforms, Inc.",N/A,Financial Services
207,PAGS,PagSeguro Digital Ltd.,N/A,Technology
208,NIO,NIO Inc.,N/A,Consumer Cyclical
